index,CustomerID,Recency,Frequency,Monetary,AvgUnitPrice,DistinctProducts,TotalItems,AvgBasketValue,ReturnFrequency,ReturnRate,cluster,umap_x,umap_y
0,12346,326,1,77183.6,1.04,1,74215,77183.6,1.0,0.5,-1,4.3549213,5.7477646
1,12347,2,7,4310.0,2.644010989010989,103,2458,615.7142857142857,0.0,0.0,1,6.047753,7.6472173
2,12348,75,4,1797.24,5.764838709677419,22,2341,449.31,0.0,0.0,-1,2.7585282,6.75272
3,12349,19,1,1757.55,8.289041095890411,73,631,1757.55,0.0,0.0,-1,2.9742262,5.948429
4,12350,310,1,334.4,3.841176470588235,17,197,334.4,0.0,0.0,1,0.9980365,3.224508
5,12352,36,8,2506.04,15.93070588235294,59,536,313.255,3.0,0.2727272727272727,-1,8.484909,5.8644385
6,12353,204,1,89.0,6.074999999999999,4,20,89.0,0.0,0.0,1,-0.014687305,1.6368645
7,12354,232,1,1079.4,4.5037931034482765,58,530,1079.4,0.0,0.0,1,2.5105524,4.297795
8,12355,214,1,459.4,4.203846153846154,13,240,459.4,0.0,0.0,1,1.2243164,3.5898495
9,12356,23,3,2811.43,3.201186440677966,53,1591,937.1433333333333,0.0,0.0,1,4.9662375,6.9489594
10,12357,33,1,6207.67,3.3486259541984733,131,2708,6207.67,0.0,0.0,-1,4.25449,5.9192963
11,12358,2,2,1168.06,8.27421052631579,13,248,584.03,0.0,0.0,-1,1.5740409,6.1868005
12,12359,58,4,6372.58,8.620403225806452,214,1622,1593.145,2.0,0.3333333333333333,-1,8.816705,5.996001
13,12360,52,3,2662.06,3.5496899224806198,105,1165,887.3533333333334,0.0,0.0,1,5.1121507,6.929713
14,12361,287,1,189.9,3.335,10,91,189.9,0.0,0.0,1,-0.43471837,2.9066179
15,12362,3,10,5226.23,3.94093984962406,201,2229,522.6229999999999,3.0,0.23076923076923078,1,10.244995,8.416006
16,12363,110,2,552.0,2.3117391304347827,23,408,276.0,0.0,0.0,1,2.8291087,8.16415
17,12364,8,4,1313.1,1.910235294117647,70,1506,328.275,0.0,0.0,1,5.0782337,8.777623
18,12365,291,2,641.38,17.150454545454547,22,174,320.69,1.0,0.3333333333333333,-1,11.777019,3.0411575
19,12367,4,1,168.9,3.2,11,173,168.9,0.0,0.0,1,-1.5702258,6.212302
20,12370,51,4,3545.69,2.800299401197605,143,2353,886.4225,0.0,0.0,1,5.25545,7.014878
21,12371,45,2,1887.96,3.8742857142857146,63,591,943.98,0.0,0.0,1,4.709093,6.8281393
22,12372,72,3,1298.04,3.001346153846154,34,794,432.68,0.0,0.0,1,3.8229573,7.638415
23,12373,311,1,364.6,4.582142857142857,14,197,364.6,0.0,0.0,1,1.0564532,3.100626
24,12374,25,1,742.9300000000001,4.21969696969697,33,342,742.9300000000001,0.0,0.0,1,2.5087953,5.685078
25,12375,11,2,457.5,6.912941176470589,14,178,228.75,1.0,0.3333333333333333,-1,11.674242,3.8078105
