index,CustomerID,Recency,Frequency,Monetary,AvgUnitPrice,DistinctProducts,TotalItems,AvgBasketValue,ReturnFrequency,ReturnRate
0,12346,326,1,77183.6,1.04,1,74215,77183.6,1.0,0.5
1,12347,2,7,4310.0,2.644010989010989,103,2458,615.7142857142857,0.0,0.0
2,12348,75,4,1797.24,5.764838709677419,22,2341,449.31,0.0,0.0
3,12349,19,1,1757.55,8.289041095890411,73,631,1757.55,0.0,0.0
4,12350,310,1,334.4,3.841176470588235,17,197,334.4,0.0,0.0
5,12352,36,8,2506.04,15.93070588235294,59,536,313.255,3.0,0.2727272727272727
6,12353,204,1,89.0,6.074999999999999,4,20,89.0,0.0,0.0
7,12354,232,1,1079.4,4.5037931034482765,58,530,1079.4,0.0,0.0
8,12355,214,1,459.4,4.203846153846154,13,240,459.4,0.0,0.0
9,12356,23,3,2811.43,3.201186440677966,53,1591,937.1433333333333,0.0,0.0
10,12357,33,1,6207.67,3.3486259541984733,131,2708,6207.67,0.0,0.0
11,12358,2,2,1168.06,8.27421052631579,13,248,584.03,0.0,0.0
12,12359,58,4,6372.58,8.620403225806452,214,1622,1593.145,2.0,0.3333333333333333
13,12360,52,3,2662.06,3.5496899224806198,105,1165,887.3533333333334,0.0,0.0
14,12361,287,1,189.9,3.335,10,91,189.9,0.0,0.0
15,12362,3,10,5226.23,3.94093984962406,201,2229,522.6229999999999,3.0,0.23076923076923078
16,12363,110,2,552.0,2.3117391304347827,23,408,276.0,0.0,0.0
17,12364,8,4,1313.1,1.910235294117647,70,1506,328.275,0.0,0.0
18,12365,291,2,641.38,17.150454545454547,22,174,320.69,1.0,0.3333333333333333
19,12367,4,1,168.9,3.2,11,173,168.9,0.0,0.0
20,12370,51,4,3545.69,2.800299401197605,143,2353,886.4225,0.0,0.0
21,12371,45,2,1887.96,3.8742857142857146,63,591,943.98,0.0,0.0
22,12372,72,3,1298.04,3.001346153846154,34,794,432.68,0.0,0.0
23,12373,311,1,364.6,4.582142857142857,14,197,364.6,0.0,0.0
24,12374,25,1,742.9300000000001,4.21969696969697,33,342,742.9300000000001,0.0,0.0
25,12375,11,2,457.5,6.912941176470589,14,178,228.75,1.0,0.3333333333333333
26,12377,315,2,1628.12,2.718831168831169,72,944,814.06,0.0,0.0
27,12378,130,1,4008.62,2.9974429223744297,219,2529,4008.62,0.0,0.0
28,12379,82,2,852.24,2.86625,39,407,426.12,1.0,0.3333333333333333
29,12380,22,4,2724.81,3.378653846153846,77,1127,681.2025,1.0,0.2
30,12381,5,5,1845.31,4.683218390804598,70,808,369.062,1.0,0.16666666666666666
31,12383,185,5,1850.56,3.086969696969697,84,1532,370.11199999999997,1.0,0.16666666666666666
32,12384,29,2,585.27,7.87925925925926,26,126,292.635,1.0,0.3333333333333333
33,12386,338,2,401.9,2.391,10,354,200.95,0.0,0.0
34,12388,16,6,2780.66,2.7777,57,1462,463.4433333333333,0.0,0.0
35,12390,80,1,549.84,3.996875,32,353,549.84,0.0,0.0
36,12391,22,1,460.89,2.4599,92,300,460.89,0.0,0.0
37,12393,72,4,1582.6000000000001,2.2796875,47,816,395.65000000000003,0.0,0.0
38,12394,64,2,1272.48,3.3707407407407404,26,819,636.24,0.0,0.0
39,12395,19,12,3018.63,3.9688461538461537,91,2118,251.5525,3.0,0.2
40,12397,36,2,2409.9,3.4682539682539684,110,1263,1204.95,0.0,0.0
41,12398,46,1,1635.6599999999999,1.992705882352941,85,1394,1635.6599999999999,0.0,0.0
42,12399,119,4,1108.65,2.1145762711864404,47,1178,277.1625,0.0,0.0
43,12401,303,1,84.3,9.68,5,11,84.3,0.0,0.0
44,12402,323,1,225.6,3.290909090909091,11,94,225.6,0.0,0.0
45,12403,50,1,427.7,7.080000000000001,5,96,427.7,1.0,0.5
46,12405,149,1,1710.39,3.5442592592592597,54,857,1710.39,0.0,0.0
47,12406,22,2,3415.3,2.487047619047619,92,1818,1707.65,1.0,0.3333333333333333
48,12407,50,5,1708.1200000000001,3.2674025974025973,57,1416,341.624,0.0,0.0
49,12408,33,5,2888.55,3.0228571428571427,81,1409,577.71,4.0,0.4444444444444444
50,12409,79,3,11072.67,3.574495412844037,91,5551,3690.89,4.0,0.5714285714285714
51,12410,309,2,693.3299999999999,6.335384615384616,26,211,346.66499999999996,1.0,0.3333333333333333
